0 0	0
0 1	0
0 2	0
0 3	0
0 4	0
0 5	2
0 6	12
0 7	18
0 8	36
0 9	55
0 10	65
1 0	0
1 1	0
1 2	0
1 3	0
1 4	0
1 5	2
1 6	10
1 7	24
1 8	36
1 9	57
1 10	61
2 0	0
2 1	0
2 2	0
2 3	0
2 4	2
2 5	2
2 6	10
2 7	44
2 8	56
2 9	65
2 10	70
3 0	0
3 1	0
3 2	0
3 3	0
3 4	0
3 5	2
3 6	10
3 7	25
3 8	46
3 9	58
3 10	65
4 0	0
4 1	0
4 2	0
4 3	0
4 4	0
4 5	0
4 6	20
4 7	34
4 8	53
4 9	66
4 10	72
5 0	0
5 1	0
5 2	0
5 3	0
5 4	0
5 5	2
5 6	12
5 7	30
5 8	48
5 9	68
5 10	72
6 0	0
6 1	0
6 2	0
6 3	0
6 4	2
6 5	6
6 6	16
6 7	40
6 8	55
6 9	76
6 10	78
7 0	0
7 1	0
7 2	0
7 3	0
7 4	4
7 5	6
7 6	13
7 7	40
7 8	46
7 9	64
7 10	78
8 0	0
8 1	0
8 2	0
8 3	0
8 4	0
8 5	6
8 6	18
8 7	26
8 8	52
8 9	72
8 10	76
9 0	0
9 1	0
9 2	0
9 3	0
9 4	0
9 5	6
9 6	14
9 7	30
9 8	52
9 9	78
9 10	84
10 0	0
10 1	0
10 2	0
10 3	0
10 4	2
10 5	10
10 6	14
10 7	34
10 8	55
10 9	90
10 10	96
11 0	0
11 1	0
11 2	0
11 3	0
11 4	0
11 5	4
11 6	18
11 7	50
11 8	80
11 9	100
11 10	100
12 0	0
12 1	0
12 2	0
12 3	0
12 4	2
12 5	12
12 6	48
12 7	68
12 8	98
12 9	100
12 10	100
13 0	0
13 1	0
13 2	0
13 3	0
13 4	6
13 5	13
13 6	41
13 7	70
13 8	92
13 9	100
13 10	100
14 0	0
14 1	0
14 2	0
14 3	0
14 4	4
14 5	18
14 6	61
14 7	78
14 8	96
14 9	100
14 10	98
15 0	0
15 1	0
15 2	0
15 3	2
15 4	2
15 5	18
15 6	63
15 7	72
15 8	92
15 9	100
15 10	100
16 0	0
16 1	0
16 2	0
16 3	0
16 4	16
16 5	16
16 6	60
16 7	60
16 8	100
16 9	100
16 10	100
17 0	0
17 1	0
17 2	0
17 3	0
17 4	6
17 5	22
17 6	64
17 7	68
17 8	92
17 9	100
17 10	100
